Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,145,2,1,1,0.993150684932,0.666666666667,0.999927520752,0.0
2,5,0,3,0,146,0.0,1.0,0.999927520752,0.0
3,5,138,1,2,8,0.945205479452,0.333333333333,1.00016593933,0.0
4,5,141,0,3,5,0.965753424658,0.0,0.999927520752,0.0
5,5,0,3,0,146,0.0,1.0,1.00016593933,0.0
6,5,0,2,0,146,0.0,1.0,0.999927520752,0.0
7,5,138,0,2,8,0.945205479452,0.0,0.999927520752,0.0
8,5,0,2,0,145,0.0,1.0,1.00016593933,0.0
9,5,0,2,0,145,0.0,1.0,1.9998550415,0.0
10,5,0,2,0,145,0.0,1.0,1.00016593933,0.0
1,8,145,2,1,1,0.993150684932,0.666666666667,0.999927520752,0.0
2,8,0,3,0,146,0.0,1.0,2.00009346008,0.0
3,8,138,1,2,8,0.945205479452,0.333333333333,0.999927520752,0.0
4,8,141,0,3,5,0.965753424658,0.0,1.00016593933,0.0
5,8,0,3,0,146,0.0,1.0,0.999927520752,0.0
6,8,0,2,0,146,0.0,1.0,1.00016593933,0.0
7,8,138,0,2,8,0.945205479452,0.0,0.999927520752,0.0
8,8,0,2,0,145,0.0,1.0,0.999927520752,0.0
9,8,0,2,0,145,0.0,1.0,0.999927520752,0.0
10,8,0,2,0,145,0.0,1.0,1.9998550415,0.0
1,11,145,2,1,1,0.993150684932,0.666666666667,2.00009346008,0.0
2,11,0,3,0,146,0.0,1.0,0.999927520752,0.999927520752
3,11,138,1,2,8,0.945205479452,0.333333333333,0.999927520752,0.0
4,11,141,0,3,5,0.965753424658,0.0,0.999927520752,0.0
5,11,0,3,0,146,0.0,1.0,1.00016593933,0.0
6,11,0,2,0,146,0.0,1.0,0.999927520752,0.0
7,11,138,0,2,8,0.945205479452,0.0,1.00016593933,0.0
8,11,0,2,0,145,0.0,1.0,0.999927520752,0.0
9,11,0,2,0,145,0.0,1.0,0.999927520752,0.0
10,11,0,2,0,145,0.0,1.0,1.00016593933,0.0
1,14,145,2,1,1,0.993150684932,0.666666666667,2.00009346008,0.0
2,14,0,3,0,146,0.0,1.0,2.00009346008,0.0
3,14,138,1,2,8,0.945205479452,0.333333333333,0.999927520752,0.0
4,14,141,0,3,5,0.965753424658,0.0,0.999927520752,1.00016593933
5,14,0,3,0,146,0.0,1.0,0.999927520752,0.0
6,14,0,2,0,146,0.0,1.0,2.00009346008,0.0
7,14,138,0,2,8,0.945205479452,0.0,1.9998550415,0.0
8,14,0,2,0,145,0.0,1.0,0.999927520752,0.0
9,14,0,2,0,145,0.0,1.0,2.00009346008,0.0
10,14,0,2,0,145,0.0,1.0,0.999927520752,0.0
1,17,145,2,1,1,0.993150684932,0.666666666667,0.999927520752,0.0
2,17,0,3,0,146,0.0,1.0,1.00016593933,0.0
3,17,138,1,2,8,0.945205479452,0.333333333333,1.00016593933,0.999927520752
4,17,141,0,3,5,0.965753424658,0.0,1.9998550415,0.0
5,17,0,3,0,146,0.0,1.0,0.999927520752,0.0
6,17,0,2,0,146,0.0,1.0,0.999927520752,0.0
7,17,138,0,2,8,0.945205479452,0.0,0.999927520752,0.0
8,17,0,2,0,145,0.0,1.0,0.999927520752,0.0
9,17,0,2,0,145,0.0,1.0,0.999927520752,0.0
10,17,0,2,0,145,0.0,1.0,0.999927520752,0.0
