Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,24,4,0,7,0.774193548387,1.0,1.00016593933,0.0
2,5,24,4,0,6,0.8,1.0,0.999927520752,1.00016593933
3,5,23,4,0,7,0.766666666667,1.0,0.999927520752,0.0
4,5,26,4,0,4,0.866666666667,1.0,0.999927520752,0.0
5,5,24,3,1,6,0.8,0.75,2.00009346008,0.0
6,5,22,3,0,8,0.733333333333,1.0,1.00016593933,0.0
7,5,28,3,0,2,0.933333333333,1.0,1.00016593933,0.999927520752
8,5,27,3,0,3,0.9,1.0,1.00016593933,0.0
9,5,25,2,1,5,0.833333333333,0.666666666667,1.00016593933,0.0
10,5,24,3,0,6,0.8,1.0,1.9998550415,0.0
1,8,24,4,0,7,0.774193548387,1.0,1.9998550415,0.0
2,8,24,4,0,6,0.8,1.0,0.999927520752,0.0
3,8,23,4,0,7,0.766666666667,1.0,2.00009346008,0.0
4,8,26,4,0,4,0.866666666667,1.0,1.9998550415,0.0
5,8,24,3,1,6,0.8,0.75,0.999927520752,0.0
6,8,22,3,0,8,0.733333333333,1.0,1.9998550415,0.0
7,8,28,3,0,2,0.933333333333,1.0,2.00009346008,0.0
8,8,27,3,0,3,0.9,1.0,0.999927520752,0.0
9,8,25,2,1,5,0.833333333333,0.666666666667,2.00009346008,0.0
10,8,24,3,0,6,0.8,1.0,0.999927520752,0.0
1,11,24,4,0,7,0.774193548387,1.0,0.999927520752,0.0
2,11,24,4,0,6,0.8,1.0,0.999927520752,0.0
3,11,23,4,0,7,0.766666666667,1.0,1.9998550415,0.0
4,11,26,4,0,4,0.866666666667,1.0,0.999927520752,0.0
5,11,24,3,1,6,0.8,0.75,1.9998550415,0.0
6,11,22,3,0,8,0.733333333333,1.0,0.999927520752,0.0
7,11,28,3,0,2,0.933333333333,1.0,1.00016593933,0.0
8,11,27,3,0,3,0.9,1.0,0.999927520752,1.00016593933
9,11,25,2,1,5,0.833333333333,0.666666666667,1.00016593933,0.999927520752
10,11,24,3,0,6,0.8,1.0,2.00009346008,0.0
1,14,24,4,0,7,0.774193548387,1.0,0.999927520752,0.0
2,14,24,4,0,6,0.8,1.0,2.00009346008,0.0
3,14,23,4,0,7,0.766666666667,1.0,0.999927520752,0.0
4,14,26,4,0,4,0.866666666667,1.0,0.999927520752,0.0
5,14,24,3,1,6,0.8,0.75,2.00009346008,0.0
6,14,22,3,0,8,0.733333333333,1.0,0.999927520752,0.0
7,14,28,3,0,2,0.933333333333,1.0,0.999927520752,0.0
8,14,27,3,0,3,0.9,1.0,0.999927520752,0.0
9,14,25,2,1,5,0.833333333333,0.666666666667,1.00016593933,0.0
10,14,24,3,0,6,0.8,1.0,0.999927520752,0.999927520752
1,17,24,4,0,7,0.774193548387,1.0,2.00009346008,0.0
2,17,24,4,0,6,0.8,1.0,1.00016593933,0.0
3,17,23,4,0,7,0.766666666667,1.0,0.999927520752,0.0
4,17,26,4,0,4,0.866666666667,1.0,2.00009346008,0.0
5,17,24,3,1,6,0.8,0.75,1.00016593933,0.999927520752
6,17,22,3,0,8,0.733333333333,1.0,2.00009346008,0.0
7,17,28,3,0,2,0.933333333333,1.0,1.9998550415,0.0
8,17,27,3,0,3,0.9,1.0,2.00009346008,0.0
9,17,25,2,1,5,0.833333333333,0.666666666667,0.999927520752,0.0
10,17,24,3,0,6,0.8,1.0,2.00009346008,0.0
