Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,159,2,1,0,1.0,0.666666666667,2.00009346008,0.0
2,5,159,2,0,0,1.0,1.0,1.9998550415,0.0
3,5,159,2,0,0,1.0,1.0,1.9998550415,0.0
4,5,159,2,0,0,1.0,1.0,0.999927520752,0.0
5,5,159,1,1,0,1.0,0.5,1.9998550415,0.0
6,5,159,2,0,0,1.0,1.0,1.00016593933,0.999927520752
7,5,158,2,0,1,0.993710691824,1.0,2.00009346008,0.0
8,5,159,2,0,0,1.0,1.0,0.999927520752,0.999927520752
9,5,159,2,0,0,1.0,1.0,2.00009346008,0.0
10,5,157,2,0,1,0.993670886076,1.0,2.00009346008,0.0
1,8,159,2,1,0,1.0,0.666666666667,1.9998550415,0.0
2,8,159,2,0,0,1.0,1.0,2.00009346008,0.0
3,8,159,2,0,0,1.0,1.0,2.00009346008,0.0
4,8,159,2,0,0,1.0,1.0,1.9998550415,0.0
5,8,159,1,1,0,1.0,0.5,2.00009346008,0.0
6,8,159,2,0,0,1.0,1.0,2.00009346008,0.0
7,8,158,2,0,1,0.993710691824,1.0,2.00009346008,0.0
8,8,159,2,0,0,1.0,1.0,0.999927520752,0.0
9,8,159,2,0,0,1.0,1.0,2.00009346008,0.0
10,8,157,2,0,1,0.993670886076,1.0,1.9998550415,0.0
1,11,159,2,1,0,1.0,0.666666666667,2.00009346008,0.0
2,11,159,2,0,0,1.0,1.0,0.999927520752,1.00016593933
3,11,159,2,0,0,1.0,1.0,2.00009346008,0.0
4,11,159,2,0,0,1.0,1.0,0.999927520752,1.00016593933
5,11,159,1,1,0,1.0,0.5,2.00009346008,0.0
6,11,159,2,0,0,1.0,1.0,2.00009346008,0.0
7,11,158,2,0,1,0.993710691824,1.0,0.999927520752,1.00016593933
8,11,159,2,0,0,1.0,1.0,0.999927520752,1.00016593933
9,11,159,2,0,0,1.0,1.0,1.00016593933,0.0
10,11,157,2,0,1,0.993670886076,1.0,2.00009346008,0.0
1,14,159,2,1,0,1.0,0.666666666667,2.00009346008,0.0
2,14,159,2,0,0,1.0,1.0,2.00009346008,0.0
3,14,159,2,0,0,1.0,1.0,1.9998550415,0.0
4,14,159,2,0,0,1.0,1.0,0.999927520752,1.00016593933
5,14,159,1,1,0,1.0,0.5,1.00016593933,0.999927520752
6,14,159,2,0,0,1.0,1.0,1.9998550415,0.0
7,14,158,2,0,1,0.993710691824,1.0,2.00009346008,0.0
8,14,159,2,0,0,1.0,1.0,1.00016593933,0.999927520752
9,14,159,2,0,0,1.0,1.0,1.9998550415,0.0
10,14,157,2,0,1,0.993670886076,1.0,0.999927520752,0.0
1,17,159,2,1,0,1.0,0.666666666667,1.9998550415,0.0
2,17,159,2,0,0,1.0,1.0,0.999927520752,0.999927520752
3,17,159,2,0,0,1.0,1.0,2.00009346008,0.0
4,17,159,2,0,0,1.0,1.0,1.9998550415,0.0
5,17,159,1,1,0,1.0,0.5,2.00009346008,0.0
6,17,159,2,0,0,1.0,1.0,1.9998550415,0.0
7,17,158,2,0,1,0.993710691824,1.0,1.9998550415,1.00016593933
8,17,159,2,0,0,1.0,1.0,2.00009346008,0.0
9,17,159,2,0,0,1.0,1.0,2.00009346008,0.0
10,17,157,2,0,1,0.993670886076,1.0,2.00009346008,0.0
